label	definition
Choir	A musical ensemble of singers.
Chant	The rhythmic speaking or singing of words or sounds, often primarily on one or two main pitches called reciting tones.
Cowbell	A simple metal bell historically tied around the necks of cattle to keep track of their whereabouts.
Musical instrument	Sounds specifically associated with instruments created, adapted or otherwise used to make musical sounds.
Plucked string instrument	Sounds of a musical instrument using tensioned strings to produce tones, where the usual mode of playing is to pull and release the strings to cause them to vibrate.
Guitar	Sounds of a string instrument with between 4 and 18 strings (typically 6) running over a fretboard, typically played by strumming or plucking the strings with the right hand while fretting the strings with the fingers of the left hand.
Electric guitar	Sounds of a guitar that uses a pickup to convert the vibration of its strings (which are typically made of metal, and which occurs when a guitarist strums, plucks, or fingerpicks the strings) into electrical impulses, which are then amplified and converted to sound.
Bass guitar	Sounds of a relative of the electric guitar with a longer neck and 4 to 6 strings. The common 4-string bass is usually tuned one octave lower than the four lowest pitched strings of a guitar.
Acoustic guitar	Sounds of a guitar that produces sound acoustically by transmitting the vibration of the strings from its body to the air. Includes guitars with both nylon (or gut) strings, and those with steel strings.
Steel guitar, slide guitar	Sounds of a guitar whose string length is controlled by a hard object placed on the string (the "slide" or "steel") instead of by pressing against the frets with the fingers.
Tapping (guitar technique)	Sounds of a guitar playing technique, where a string is fretted and set into vibration as part of a single motion of being pushed onto the fretboard, as opposed to the standard technique being fretted with one hand and picked with the other.
Strum	The sound of playing a guitar by dragging a finger or plectrum over multiple strings near-simultaneously.
Banjo	Sounds of a 4-, 5-, or 6-stringed instrument with a thin membrane stretched over a frame or cavity as a resonator, called the head.
Sitar	Sounds of a plucked stringed instrument used mainly in Hindustani and Indian classical music, which derives its distinctive timbre and resonance from sympathetic strings, bridge design, a long hollow neck, and a gourd-shaped resonance chamber.
Mandolin	Sounds of an instrument in the lute family, commonly with 4 courses of doubled metal strings, usually plucked with a plectrum or "pick".
Zither	Sounds of a class of stringed instruments consisting of many strings stretched across a thin, flat body, played by strumming or plucking.
Ukulele	Sounds of a small four-stringed guitar-like instument that originated in Hawaii.
Keyboard (musical)	Sounds of a musical instrument played using a keyboard, most commonly the piano, organ, and various electronic keyboards, including synthesizers and digital pianos.
Piano	Sounds of a musical instrument played via a row of keys that the performer presses down or strikes with the fingers and thumbs of both hands, to trigger a decaying note whose loudness reflects the vigor of the press.
Electric piano	Sounds of a music instrument with a piano-style keyboard, where pressing keys causes mechanical hammers to strike metal strings, metal reeds, or wire tines, leading to vibrations which are converted into electrical signals by magnetic pickups.
Clavinet	Sounds of an electrically-amplified keyboard instrument with a distinctive bright staccato sound, popular in funk, jazz-funk, rock, and soul songs.
Rhodes piano	Sounds of an electric piano invented by Harold Rhodes in which the hammers strike thin metal tines, which are then amplified via an electromagnetic pickup.
Organ	Sounds of a keyboard instrument of one or more pipe divisions, each played with its own keyboard, played either with the hands on a keyboard or with the feet using pedals. Unlike the piano, organ notes typically sustain while the key is depressed, rather than dying away.
Hammond organ	Sounds of an electric organ invented by Laurens Hammond and John M. Hanert in which sliding drawbars create a variety of sounds.
Synthesizer	Sounds associated with an electronic musical instrument that generates electric signals converted to sound through amplifiers and loudspeakers or headphones. Synthesizers may imitate instruments such as piano, organ, flute, or vocals; or they may generate novel electronic timbres.
Sampler	Sounds suggesting the use of an electronic musical instrument that uses recordings of sounds loaded or recorded into it by the user, then played back by means of the sampler program itself, a keyboard, sequencer, or another triggering device.
Mellotron	Sounds of an electro-mechanical, polyphonic tape replay keyboard in which each note is produced by a separate piece of pre-recorded tape, supplied in a corresponding set to simulate a particular instrument.
Harpsichord	Sounds of a keyboard-controlled instrument in which each key plucks a particular string.
Percussion	The sound of a musical instrument that is sounded by being struck or scraped by a beater; struck, scraped or rubbed by hand; or struck against another similar instrument.
Drum kit	Sounds of a collection of drums and other percussion instruments, typically cymbals, which are set up on stands to be played by a single player with drumsticks held in both hands and the feet operating pedals that control the hi-hat cymbal and the beater for the bass drum.
Drum machine	Sounds of an electronic musical instrument designed to imitate the sound of drums, cymbals, other percussion instruments, and often basslines.
Drum	The sound of an instrument consisting of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with the player's hands, or with a drum stick, to produce sound.
Snare drum	The sound of a drum that produces a sharp staccato sound by virtue of metal coils (the "snare") stretched across one of the membranes.
Rimshot	The sound of an accented snare drum beat produced by simultaneously hitting the rim and head of a drum with a drum stick.
Drum roll	A sustained sound produced by multiple, rapid strikes between drum sticks and drum, made possible by bouncing alternating sticks off the head to produce a temporally dense sequence.
Bass drum	The sound of a large drum that produces a note of low definite or indefinite pitch.
Timpani	The sound of an orchestral drum consisting of a skin stretched over a large bowl traditionally made of copper, where the head is tensioned to produce an identifiable pitch.
Tabla	The sound of a classical Hindustani percussion instrument consisting of a pair of hand drums of contrasting sizes and timbres, producing distinct pitches when struck. The larger drum has a pitch that can be manipulated with the player's hand.
Cymbal	The sound of a percussion instrument consisting of thin, normally round plates of various alloys. They may be used in pairs, struck together, or as single cymbals struck with sticks.
Hi-hat	The sound of a mating pair of small cymbals mounted atop one-another on a stand, the bottom fixed and the top activated up and down by a foot pedal. The rate of decay of the sound is changed between a shimmering and sharp effect by pressing on the pedal.
Crash cymbal	The sound of a cymbal that produces a loud, sharp "crash" used for occasional accents.
Wood block	The sound of a small slit drum made from a single piece of wood, making a very short, clean sound.
Tambourine	The sound of a musical instrument consisting of a frame with pairs of small metal jingles. There is often a drumhead stretched across the frame, and the instrument is usually played by striking the frame or head with the hand.
Rattle (instrument)	The sound of an instrument that produces a sound when shaken, usually consisting of a closed rigid shell containing numerous small particles that strike the shell when shaken.
Maraca	The sound of a specific kind of rattle that appears in many genres of Caribbean and Latin music. Players hold them by their handles, usually in pairs, and shake them.
Gong	The sound of a musical percussion instrument consisting of a flat, circular metal disc which is hit with a mallet.
Tubular bells	Sounds of tuned percussion instruments consisting of a metal tube, tuned by altering its length in the range C4-F5.
Mallet percussion	Sounds of melodic percussion instruments consisting of an array of elements, one for each note, played with mallets.
Marimba, xylophone	Sounds of a percussion instrument consisting of a set of wooden bars struck with mallets to produce musical tones. Resonators suspended underneath the bars may amplify their sound.
Glockenspiel	Sounds of a percussion instrument composed of a set of tuned metal plates or tubes laid out like the keyboard of a piano.
Vibraphone	Sounds of a tuned mallet percussion instrument similar to a xylophone or glockenspiel with the addition a motor-driven valve on each resonator that produce a tremolo or vibrato effect.
Steelpan	Sounds of a tuned percussion instrument originally constructed from steel oil drums by hammering out small patches on the head to produce separate pitches.
Orchestra	The sound of a large instrumental ensemble (a dozen or more people), often used in classical music, that contains sections of string, brass, woodwind, and percussion instruments.
French horn	The sound of a brass instrument made of tubing wrapped into a coil with a flared bell. A modern French horn includes valves to control pitch by routing air into extra sections of tubing.
Trumpet	The sound of a high-pitched brass instruments played by blowing air through almost-closed lips, producing a "buzzing" sound that starts a standing wave vibration in the air column inside the instrument.
Trombone	The sound of a brass instrument that includes a telescoping slide mechanism that varies the length of the instrument to change the pitch.
Cornet	The sound of a brass instrument distinguished from a trumpet by its conical bore, more compact shape, and mellower tone quality.
Bugle	The sound of a simple brass instrument with no valves or other pitch-altering devices. All pitch control is done by varying the player's embouchure.
Bowed string instrument	Sounds of the subcategory of string instruments that are usually played by a bow rubbing the strings.  Examples may include other playing techniques for these instruments, such as plucking.
String section	The sound of a group of string instruments typically present in a standard classical orchestra.
Violin, fiddle	The sound of a wooden string instrument, typically with four strings tuned in perfect fifths, that is most commonly played by drawing a bow across its strings, though it can also be played by plucking the strings.
Pizzicato	The sound of playing a stringed instrument that is usually bowed (such as a violin) by plucking the strings with the fingers.
Cello	The sound of a larger, lower-pitched bowed string instrument with four strings tuned in perfect fifths, usually C2, G2, D3, and A3.
Double bass	The sound of a large, bowed string instrument, the lowest-pitched in a standard symphony orchestra, with strings usually tuned to E1, A1, D2, and G2.
Wind instrument, woodwind instrument	Sounds of a family of musical instruments in which a column of air within a resonator is set into vibration by the player blowing into a mouthpiece set at the end of the resonator.
Flute	The sound of an aerophone or reedless wind instrument that produces its sound from the flow of air across an opening.
Saxophone	The sound of a woodwind instrument made of brass and played with a single-reed mouthpiece similar to that of the clarinet.
Alto saxophone	The sound of the most common member of the saxophone family covering a mid-range of pitches.
