anchor,positive,negative
Pop music,Hip hop music,Beatboxing
Pop music,Hip hop music,Heavy metal
Pop music,Hip hop music,Punk rock
Pop music,Hip hop music,Grunge
Pop music,Hip hop music,Progressive rock
Pop music,Hip hop music,Rock and roll
Pop music,Hip hop music,Psychedelic rock
Pop music,Hip hop music,Dub
Pop music,Hip hop music,Swing music
Pop music,Hip hop music,Bluegrass
Pop music,Hip hop music,Opera
Pop music,Hip hop music,House music
Pop music,Hip hop music,Dubstep
Pop music,Hip hop music,Electronica
Pop music,Hip hop music,Electronic dance music
Pop music,Hip hop music,Ambient music
Pop music,Hip hop music,Drone music
Pop music,Hip hop music,Noise music
Pop music,Hip hop music,UK garage
Pop music,Hip hop music,Cumbia
Pop music,Hip hop music,Salsa music
Pop music,Hip hop music,Soca music
Pop music,Hip hop music,Kuduro
Pop music,Hip hop music,Funk carioca
Pop music,Hip hop music,Flamenco
Pop music,Hip hop music,A capella
Pop music,Hip hop music,Chant
Pop music,Hip hop music,Beatboxing
Pop music,Hip hop music,Afrobeat
Pop music,Hip hop music,Kwaito
Pop music,Hip hop music,Gospel music
Pop music,Hip hop music,Carnatic music
Pop music,Hip hop music,Music of Bollywood
Pop music,Grime music,Oldschool jungle
Pop music,Grime music,Drone music
Pop music,Trap music,Oldschool jungle
Pop music,Trap music,Drone music
Pop music,Beatboxing,Drone music
Pop music,Rock music,Heavy metal
Pop music,Rock music,Punk rock
Pop music,Rock music,Progressive rock
Pop music,Rock music,Bluegrass
Pop music,Rock music,Opera
Pop music,Rock music,Dubstep
Pop music,Rock music,Drum and bass
Pop music,Rock music,Electronica
Pop music,Rock music,Ambient music
Pop music,Rock music,Drone music
Pop music,Rock music,Trance music
Pop music,Rock music,Noise music
Pop music,Rock music,UK garage
Pop music,Rock music,Cumbia
Pop music,Rock music,Salsa music
Pop music,Rock music,Soca music
Pop music,Rock music,Kuduro
Pop music,Rock music,Funk carioca
Pop music,Rock music,Flamenco
Pop music,Rock music,A capella
Pop music,Rock music,Chant
