anchor,positive,negative
A capella,Afrobeat,no A capella
A capella,Afrobeat,no Afrobeat
A capella,Beatboxing,no A capella
A capella,Beatboxing,no Beatboxing
A capella,Carnatic music,no A capella
A capella,Carnatic music,no Carnatic music
A capella,Chant,no A capella
A capella,Chant,no Chant
A capella,Christian music,no A capella
A capella,Christian music,no Christian music
A capella,Gospel music,no A capella
A capella,Gospel music,no Gospel music
A capella,Independent music,no A capella
A capella,Independent music,no Independent music
A capella,Kwaito,no A capella
A capella,Kwaito,no Kwaito
A capella,Music of Africa,no A capella
A capella,Music of Africa,no Music of Africa
A capella,Music of Asia,no A capella
A capella,Music of Asia,no Music of Asia
A capella,Music of Bollywood,no A capella
A capella,Music of Bollywood,no Music of Bollywood
A capella,Ska,no A capella
A capella,Ska,no Ska
A capella,Traditional music,no A capella
A capella,Traditional music,no Traditional music
Afrobeat,Carnatic music,no Afrobeat
Afrobeat,Carnatic music,no Carnatic music
Afrobeat,Christian music,no Afrobeat
Afrobeat,Christian music,no Christian music
Afrobeat,Gospel music,no Afrobeat
Afrobeat,Gospel music,no Gospel music
Afrobeat,Independent music,no Afrobeat
Afrobeat,Independent music,no Independent music
Afrobeat,Kwaito,no Afrobeat
Afrobeat,Kwaito,no Kwaito
Afrobeat,Music of Asia,no Afrobeat
Afrobeat,Music of Asia,no Music of Asia
Afrobeat,Music of Bollywood,no Afrobeat
Afrobeat,Music of Bollywood,no Music of Bollywood
Afrobeat,Ska,no Afrobeat
Afrobeat,Ska,no Ska
Afrobeat,Traditional music,no Afrobeat
Afrobeat,Traditional music,no Traditional music
Ambient music,Blues,no Ambient music
Ambient music,Blues,no Blues
Ambient music,Christian music,no Ambient music
Ambient music,Christian music,no Christian music
Ambient music,Drone music,no Ambient music
Ambient music,Drone music,no Drone music
Ambient music,Independent music,no Ambient music
Ambient music,Independent music,no Independent music
Ambient music,Music for children,no Ambient music
Ambient music,Music for children,no Music for children
Ambient music,Music of Africa,no Ambient music
Ambient music,Music of Africa,no Music of Africa
Ambient music,Music of Asia,no Ambient music
Ambient music,Music of Asia,no Music of Asia
Ambient music,Music of Latin America,no Ambient music
Ambient music,Music of Latin America,no Music of Latin America
