anchor,positive,negative
Plucked string instrument,Guitar,Strum
Plucked string instrument,Guitar,Keyboard (musical)
Plucked string instrument,Guitar,Piano
Plucked string instrument,Guitar,Electric piano
Plucked string instrument,Guitar,Clavinet
Plucked string instrument,Guitar,Rhodes piano
Plucked string instrument,Guitar,Organ
Plucked string instrument,Guitar,Electric organ
Plucked string instrument,Guitar,Hammond organ
Plucked string instrument,Guitar,Synthesizer
Plucked string instrument,Guitar,Sampler
Plucked string instrument,Guitar,Mellotron
Plucked string instrument,Guitar,Harpsichord
Plucked string instrument,Guitar,Percussion
Plucked string instrument,Guitar,Drum kit
Plucked string instrument,Guitar,Drum machine
Plucked string instrument,Guitar,Drum
Plucked string instrument,Guitar,Snare drum
Plucked string instrument,Guitar,Rimshot
Plucked string instrument,Guitar,Drum roll
Plucked string instrument,Guitar,Bass drum
Plucked string instrument,Guitar,Timpani
Plucked string instrument,Guitar,Tabla
Plucked string instrument,Guitar,Cymbal
Plucked string instrument,Guitar,Hi-hat
Plucked string instrument,Guitar,Crash cymbal
Plucked string instrument,Guitar,Cowbell
Plucked string instrument,Guitar,Wood block
Plucked string instrument,Guitar,Tambourine
Plucked string instrument,Guitar,Rattle (instrument)
Plucked string instrument,Guitar,Maraca
Plucked string instrument,Guitar,Gong
Plucked string instrument,Guitar,Tubular bells
Plucked string instrument,Guitar,Mallet percussion
Plucked string instrument,Guitar,"Marimba, xylophone"
Plucked string instrument,Guitar,Glockenspiel
Plucked string instrument,Guitar,Vibraphone
Plucked string instrument,Guitar,Steelpan
Plucked string instrument,Guitar,Orchestra
Plucked string instrument,Guitar,Brass Instrument
Plucked string instrument,Guitar,French horn
Plucked string instrument,Guitar,Trumpet
Plucked string instrument,Guitar,Trombone
Plucked string instrument,Guitar,Cornet
Plucked string instrument,Guitar,Bugle
Plucked string instrument,Guitar,Bowed string instrument
Plucked string instrument,Guitar,String section
Plucked string instrument,Guitar,"Violin, fiddle"
Plucked string instrument,Guitar,Pizzicato
Plucked string instrument,Guitar,Cello
Plucked string instrument,Guitar,Double bass
Plucked string instrument,Guitar,"Wind instrument, woodwind instrument"
Plucked string instrument,Guitar,Flute
Plucked string instrument,Guitar,Saxophone
Plucked string instrument,Guitar,Alto saxophone
Plucked string instrument,Guitar,Soprano saxophone
Plucked string instrument,Guitar,Clarinet
Plucked string instrument,Guitar,Oboe
Plucked string instrument,Guitar,Bassoon
Plucked string instrument,Guitar,Harp
Plucked string instrument,Guitar,Choir
Plucked string instrument,Guitar,Bell
Plucked string instrument,Guitar,Church bell
Plucked string instrument,Guitar,Cowbell
Plucked string instrument,Guitar,Jingle bell
Plucked string instrument,Guitar,Bicycle bell
Plucked string instrument,Guitar,Tuning fork
Plucked string instrument,Guitar,Chime
Plucked string instrument,Guitar,Wind chime
Plucked string instrument,Guitar,Change ringing (campanology)
Plucked string instrument,Guitar,Harmonica
Plucked string instrument,Guitar,Accordion
Plucked string instrument,Guitar,Bagpipes
Plucked string instrument,Guitar,Didgeridoo
Plucked string instrument,Guitar,Shofar
Plucked string instrument,Guitar,Theremin
Plucked string instrument,Guitar,Singing bowl
Plucked string instrument,Guitar,Musical ensemble
Plucked string instrument,Guitar,Bass (instrument role)
Plucked string instrument,Guitar,Scratching (performance technique)
Plucked string instrument,Electric guitar,Piano
Plucked string instrument,Electric guitar,Electric piano
Plucked string instrument,Electric guitar,Clavinet
Plucked string instrument,Electric guitar,Rhodes piano
Plucked string instrument,Electric guitar,Organ
Plucked string instrument,Electric guitar,Electric organ
Plucked string instrument,Electric guitar,Hammond organ
Plucked string instrument,Electric guitar,Synthesizer
Plucked string instrument,Electric guitar,Sampler
Plucked string instrument,Electric guitar,Mellotron
Plucked string instrument,Electric guitar,Harpsichord
Plucked string instrument,Electric guitar,Drum kit
Plucked string instrument,Electric guitar,Drum machine
Plucked string instrument,Electric guitar,Drum
Plucked string instrument,Electric guitar,Snare drum
Plucked string instrument,Electric guitar,Rimshot
Plucked string instrument,Electric guitar,Drum roll
Plucked string instrument,Electric guitar,Bass drum
Plucked string instrument,Electric guitar,Timpani
Plucked string instrument,Electric guitar,Tabla
Plucked string instrument,Electric guitar,Cymbal
Plucked string instrument,Electric guitar,Hi-hat
Plucked string instrument,Electric guitar,Crash cymbal
Plucked string instrument,Electric guitar,Cowbell
Plucked string instrument,Electric guitar,Wood block
Plucked string instrument,Electric guitar,Tambourine
Plucked string instrument,Electric guitar,Rattle (instrument)
Plucked string instrument,Electric guitar,Maraca
Plucked string instrument,Electric guitar,Gong
Plucked string instrument,Electric guitar,Tubular bells
Plucked string instrument,Electric guitar,Mallet percussion
Plucked string instrument,Electric guitar,"Marimba, xylophone"
Plucked string instrument,Electric guitar,Glockenspiel
Plucked string instrument,Electric guitar,Vibraphone
Plucked string instrument,Electric guitar,Steelpan
Plucked string instrument,Electric guitar,French horn
Plucked string instrument,Electric guitar,Trumpet
Plucked string instrument,Electric guitar,Trombone
Plucked string instrument,Electric guitar,Cornet
Plucked string instrument,Electric guitar,Bugle
Plucked string instrument,Electric guitar,String section
Plucked string instrument,Electric guitar,"Violin, fiddle"
Plucked string instrument,Electric guitar,Pizzicato
Plucked string instrument,Electric guitar,Cello
Plucked string instrument,Electric guitar,Double bass
Plucked string instrument,Electric guitar,Flute
Plucked string instrument,Electric guitar,Saxophone
Plucked string instrument,Electric guitar,Alto saxophone
Plucked string instrument,Electric guitar,Soprano saxophone
Plucked string instrument,Electric guitar,Clarinet
Plucked string instrument,Electric guitar,Oboe
Plucked string instrument,Electric guitar,Bassoon
Plucked string instrument,Electric guitar,Church bell
Plucked string instrument,Electric guitar,Cowbell
Plucked string instrument,Electric guitar,Jingle bell
Plucked string instrument,Electric guitar,Bicycle bell
Plucked string instrument,Electric guitar,Tuning fork
Plucked string instrument,Electric guitar,Chime
Plucked string instrument,Electric guitar,Wind chime
Plucked string instrument,Electric guitar,Change ringing (campanology)
Plucked string instrument,Bass guitar,Piano
Plucked string instrument,Bass guitar,Electric piano
Plucked string instrument,Bass guitar,Clavinet
Plucked string instrument,Bass guitar,Rhodes piano
Plucked string instrument,Bass guitar,Organ
Plucked string instrument,Bass guitar,Electric organ
Plucked string instrument,Bass guitar,Hammond organ
Plucked string instrument,Bass guitar,Synthesizer
Plucked string instrument,Bass guitar,Sampler
Plucked string instrument,Bass guitar,Mellotron
Plucked string instrument,Bass guitar,Harpsichord
Plucked string instrument,Bass guitar,Drum kit
Plucked string instrument,Bass guitar,Drum machine
Plucked string instrument,Bass guitar,Drum
Plucked string instrument,Bass guitar,Snare drum
Plucked string instrument,Bass guitar,Rimshot
Plucked string instrument,Bass guitar,Drum roll
Plucked string instrument,Bass guitar,Bass drum
Plucked string instrument,Bass guitar,Timpani
Plucked string instrument,Bass guitar,Tabla
Plucked string instrument,Bass guitar,Cymbal
Plucked string instrument,Bass guitar,Hi-hat
Plucked string instrument,Bass guitar,Crash cymbal
Plucked string instrument,Bass guitar,Cowbell
Plucked string instrument,Bass guitar,Wood block
Plucked string instrument,Bass guitar,Tambourine
Plucked string instrument,Bass guitar,Rattle (instrument)
Plucked string instrument,Bass guitar,Maraca
Plucked string instrument,Bass guitar,Gong
Plucked string instrument,Bass guitar,Tubular bells
Plucked string instrument,Bass guitar,Mallet percussion
Plucked string instrument,Bass guitar,"Marimba, xylophone"
Plucked string instrument,Bass guitar,Glockenspiel
Plucked string instrument,Bass guitar,Vibraphone
Plucked string instrument,Bass guitar,Steelpan
Plucked string instrument,Bass guitar,French horn
Plucked string instrument,Bass guitar,Trumpet
Plucked string instrument,Bass guitar,Trombone
Plucked string instrument,Bass guitar,Cornet
Plucked string instrument,Bass guitar,Bugle
Plucked string instrument,Bass guitar,String section
Plucked string instrument,Bass guitar,"Violin, fiddle"
Plucked string instrument,Bass guitar,Pizzicato
Plucked string instrument,Bass guitar,Cello
Plucked string instrument,Bass guitar,Double bass
Plucked string instrument,Bass guitar,Flute
Plucked string instrument,Bass guitar,Saxophone
Plucked string instrument,Bass guitar,Alto saxophone
Plucked string instrument,Bass guitar,Soprano saxophone
Plucked string instrument,Bass guitar,Clarinet
Plucked string instrument,Bass guitar,Oboe
Plucked string instrument,Bass guitar,Bassoon
Plucked string instrument,Bass guitar,Church bell
Plucked string instrument,Bass guitar,Cowbell
Plucked string instrument,Bass guitar,Jingle bell
Plucked string instrument,Bass guitar,Bicycle bell
Plucked string instrument,Bass guitar,Tuning fork
Plucked string instrument,Bass guitar,Chime
Plucked string instrument,Bass guitar,Wind chime
Plucked string instrument,Bass guitar,Change ringing (campanology)
Plucked string instrument,Acoustic guitar,Piano
Plucked string instrument,Acoustic guitar,Electric piano
Plucked string instrument,Acoustic guitar,Clavinet
Plucked string instrument,Acoustic guitar,Rhodes piano
Plucked string instrument,Acoustic guitar,Organ
Plucked string instrument,Acoustic guitar,Electric organ
Plucked string instrument,Acoustic guitar,Hammond organ
Plucked string instrument,Acoustic guitar,Synthesizer
Plucked string instrument,Acoustic guitar,Sampler
Plucked string instrument,Acoustic guitar,Mellotron
Plucked string instrument,Acoustic guitar,Harpsichord
Plucked string instrument,Acoustic guitar,Drum kit
Plucked string instrument,Acoustic guitar,Drum machine
Plucked string instrument,Acoustic guitar,Drum
Plucked string instrument,Acoustic guitar,Snare drum
Plucked string instrument,Acoustic guitar,Rimshot
Plucked string instrument,Acoustic guitar,Drum roll
Plucked string instrument,Acoustic guitar,Bass drum
Plucked string instrument,Acoustic guitar,Timpani
Plucked string instrument,Acoustic guitar,Tabla
Plucked string instrument,Acoustic guitar,Cymbal
Plucked string instrument,Acoustic guitar,Hi-hat
Plucked string instrument,Acoustic guitar,Crash cymbal
Plucked string instrument,Acoustic guitar,Cowbell
Plucked string instrument,Acoustic guitar,Wood block
Plucked string instrument,Acoustic guitar,Tambourine
Plucked string instrument,Acoustic guitar,Rattle (instrument)
Plucked string instrument,Acoustic guitar,Maraca
Plucked string instrument,Acoustic guitar,Gong
Plucked string instrument,Acoustic guitar,Tubular bells
Plucked string instrument,Acoustic guitar,Mallet percussion
Plucked string instrument,Acoustic guitar,"Marimba, xylophone"
Plucked string instrument,Acoustic guitar,Glockenspiel
Plucked string instrument,Acoustic guitar,Vibraphone
Plucked string instrument,Acoustic guitar,Steelpan
Plucked string instrument,Acoustic guitar,French horn
Plucked string instrument,Acoustic guitar,Trumpet
Plucked string instrument,Acoustic guitar,Trombone
Plucked string instrument,Acoustic guitar,Cornet
Plucked string instrument,Acoustic guitar,Bugle
Plucked string instrument,Acoustic guitar,String section
Plucked string instrument,Acoustic guitar,"Violin, fiddle"
Plucked string instrument,Acoustic guitar,Pizzicato
Plucked string instrument,Acoustic guitar,Cello
Plucked string instrument,Acoustic guitar,Double bass
Plucked string instrument,Acoustic guitar,Flute
Plucked string instrument,Acoustic guitar,Saxophone
Plucked string instrument,Acoustic guitar,Alto saxophone
Plucked string instrument,Acoustic guitar,Soprano saxophone
Plucked string instrument,Acoustic guitar,Clarinet
Plucked string instrument,Acoustic guitar,Oboe
Plucked string instrument,Acoustic guitar,Bassoon
Plucked string instrument,Acoustic guitar,Church bell
Plucked string instrument,Acoustic guitar,Cowbell
Plucked string instrument,Acoustic guitar,Jingle bell
Plucked string instrument,Acoustic guitar,Bicycle bell
Plucked string instrument,Acoustic guitar,Tuning fork
Plucked string instrument,Acoustic guitar,Chime
Plucked string instrument,Acoustic guitar,Wind chime
Plucked string instrument,Acoustic guitar,Change ringing (campanology)
Plucked string instrument,"Steel guitar, slide guitar",Piano
Plucked string instrument,"Steel guitar, slide guitar",Electric piano
Plucked string instrument,"Steel guitar, slide guitar",Clavinet
Plucked string instrument,"Steel guitar, slide guitar",Rhodes piano
Plucked string instrument,"Steel guitar, slide guitar",Organ
Plucked string instrument,"Steel guitar, slide guitar",Electric organ
Plucked string instrument,"Steel guitar, slide guitar",Hammond organ
Plucked string instrument,"Steel guitar, slide guitar",Synthesizer
Plucked string instrument,"Steel guitar, slide guitar",Sampler
Plucked string instrument,"Steel guitar, slide guitar",Mellotron
Plucked string instrument,"Steel guitar, slide guitar",Harpsichord
Plucked string instrument,"Steel guitar, slide guitar",Drum kit
Plucked string instrument,"Steel guitar, slide guitar",Drum machine
Plucked string instrument,"Steel guitar, slide guitar",Drum
Plucked string instrument,"Steel guitar, slide guitar",Snare drum
Plucked string instrument,"Steel guitar, slide guitar",Rimshot
Plucked string instrument,"Steel guitar, slide guitar",Drum roll
Plucked string instrument,"Steel guitar, slide guitar",Bass drum
Plucked string instrument,"Steel guitar, slide guitar",Timpani
Plucked string instrument,"Steel guitar, slide guitar",Tabla
Plucked string instrument,"Steel guitar, slide guitar",Cymbal
Plucked string instrument,"Steel guitar, slide guitar",Hi-hat
Plucked string instrument,"Steel guitar, slide guitar",Crash cymbal
Plucked string instrument,"Steel guitar, slide guitar",Cowbell
Plucked string instrument,"Steel guitar, slide guitar",Wood block
Plucked string instrument,"Steel guitar, slide guitar",Tambourine
Plucked string instrument,"Steel guitar, slide guitar",Rattle (instrument)
Plucked string instrument,"Steel guitar, slide guitar",Maraca
Plucked string instrument,"Steel guitar, slide guitar",Gong
Plucked string instrument,"Steel guitar, slide guitar",Tubular bells
Plucked string instrument,"Steel guitar, slide guitar",Mallet percussion
Plucked string instrument,"Steel guitar, slide guitar","Marimba, xylophone"
Plucked string instrument,"Steel guitar, slide guitar",Glockenspiel
Plucked string instrument,"Steel guitar, slide guitar",Vibraphone
Plucked string instrument,"Steel guitar, slide guitar",Steelpan
Plucked string instrument,"Steel guitar, slide guitar",French horn
Plucked string instrument,"Steel guitar, slide guitar",Trumpet
Plucked string instrument,"Steel guitar, slide guitar",Trombone
Plucked string instrument,"Steel guitar, slide guitar",Cornet
Plucked string instrument,"Steel guitar, slide guitar",Bugle
Plucked string instrument,"Steel guitar, slide guitar",String section
Plucked string instrument,"Steel guitar, slide guitar","Violin, fiddle"
Plucked string instrument,"Steel guitar, slide guitar",Pizzicato
Plucked string instrument,"Steel guitar, slide guitar",Cello
Plucked string instrument,"Steel guitar, slide guitar",Double bass
Plucked string instrument,"Steel guitar, slide guitar",Flute
Plucked string instrument,"Steel guitar, slide guitar",Saxophone
Plucked string instrument,"Steel guitar, slide guitar",Alto saxophone
Plucked string instrument,"Steel guitar, slide guitar",Soprano saxophone
Plucked string instrument,"Steel guitar, slide guitar",Clarinet
Plucked string instrument,"Steel guitar, slide guitar",Oboe
Plucked string instrument,"Steel guitar, slide guitar",Bassoon
Plucked string instrument,"Steel guitar, slide guitar",Church bell
Plucked string instrument,"Steel guitar, slide guitar",Cowbell
Plucked string instrument,"Steel guitar, slide guitar",Jingle bell
Plucked string instrument,"Steel guitar, slide guitar",Bicycle bell
Plucked string instrument,"Steel guitar, slide guitar",Tuning fork
Plucked string instrument,"Steel guitar, slide guitar",Chime
Plucked string instrument,"Steel guitar, slide guitar",Wind chime
Plucked string instrument,"Steel guitar, slide guitar",Change ringing (campanology)
Plucked string instrument,Tapping (guitar technique),Piano
Plucked string instrument,Tapping (guitar technique),Electric piano
Plucked string instrument,Tapping (guitar technique),Clavinet
Plucked string instrument,Tapping (guitar technique),Rhodes piano
Plucked string instrument,Tapping (guitar technique),Organ
Plucked string instrument,Tapping (guitar technique),Electric organ
Plucked string instrument,Tapping (guitar technique),Hammond organ
Plucked string instrument,Tapping (guitar technique),Synthesizer
Plucked string instrument,Tapping (guitar technique),Sampler
