anchor,positive,negative
Accordion,Bagpipes,no Accordion
Accordion,Bagpipes,no Bagpipes
Accordion,Bass (instrument role),no Accordion
Accordion,Bass (instrument role),no Bass (instrument role)
Accordion,Didgeridoo,no Accordion
Accordion,Didgeridoo,no Didgeridoo
Accordion,Musical ensemble,no Accordion
Accordion,Musical ensemble,no Musical ensemble
Accordion,Scratching (performance technique),no Accordion
Accordion,Scratching (performance technique),no Scratching (performance technique)
Accordion,Shofar,no Accordion
Accordion,Shofar,no Shofar
Accordion,Singing bowl,no Accordion
Accordion,Singing bowl,no Singing bowl
Accordion,Theremin,no Accordion
Accordion,Theremin,no Theremin
Acoustic guitar,Accordion,no Acoustic guitar
Acoustic guitar,Accordion,no Accordion
Acoustic guitar,Alto saxophone,no Acoustic guitar
Acoustic guitar,Alto saxophone,no Alto saxophone
Acoustic guitar,Bagpipes,no Acoustic guitar
Acoustic guitar,Bagpipes,no Bagpipes
Acoustic guitar,Banjo,no Acoustic guitar
Acoustic guitar,Banjo,no Banjo
Acoustic guitar,Bass (instrument role),no Acoustic guitar
Acoustic guitar,Bass (instrument role),no Bass (instrument role)
Acoustic guitar,Bass drum,no Acoustic guitar
Acoustic guitar,Bass drum,no Bass drum
Acoustic guitar,Bassoon,no Acoustic guitar
Acoustic guitar,Bassoon,no Bassoon
Acoustic guitar,Bell,no Acoustic guitar
Acoustic guitar,Bell,no Bell
Acoustic guitar,Bicycle bell,no Acoustic guitar
Acoustic guitar,Bicycle bell,no Bicycle bell
Acoustic guitar,Bowed string instrument,no Acoustic guitar
Acoustic guitar,Bowed string instrument,no Bowed string instrument
Acoustic guitar,Brass Instrument,no Acoustic guitar
Acoustic guitar,Brass Instrument,no Brass Instrument
Acoustic guitar,Bugle,no Acoustic guitar
Acoustic guitar,Bugle,no Bugle
Acoustic guitar,Cello,no Acoustic guitar
Acoustic guitar,Cello,no Cello
Acoustic guitar,Change ringing (campanology),no Acoustic guitar
Acoustic guitar,Change ringing (campanology),no Change ringing (campanology)
Acoustic guitar,Chime,no Acoustic guitar
Acoustic guitar,Chime,no Chime
